mp_id,emails,phones,socials
18089,Yevlakhov.Anatolii@rada.gov.ua,Тел: (044) 255-32-68 (помічник),www.yevlahov.org|www.facebook.com/anatoliy.yevlakhov
11728,Yevtushok.Serhii@rada.gov.ua,Тел: (044) 255-34-69,
19859,yedakov@v.rada.gov.ua,Тел: (044) 255-38-09,
18016,Yednak.Ostap@rada.gov.ua,Тел: (044) 255-26-06,www.facebook.com/yednak.ostap|drive.google.com/drive/folders/0BwN4sB9D872lbEt5RXlRVUMyR1k?usp=sharing|drive.google.com/drive/folders/0BwN4sB9D872lY0pKY0s3WGRjN0k?usp=sharing
17959,Yelenskyi.Viktor@rada.gov.ua,Тел: (044) 255-42-08,
4761,Yemets.Leonid@rada.gov.ua,Тел: (044) 255-22-13 (помічник),
5509,Yeremeiev.Ihor@rada.gov.ua,,eremeev.com.ua/|www.facebook.com/IgorEremeev.Ukraine
18090,Yefimov.Maksym@rada.gov.ua,Тел: (044) 255-27-11,
16716,Yefremova.Iryna@rada.gov.ua,,
15654,Ivanchuk.Andrii@rada.gov.ua,Факс: (044) 255-92-14|Тел: (044) 255-91-07 (приймальня),
15733,Ivakhiv.Stepan@rada.gov.ua,Тел: (044) 255-45-48,
18055,Ivchenko.Vadym@rada.gov.ua,Тел: (044) 255-27-76 (помічник),agroportal.ua/views/blogs/author_1380|www.epravda.com.ua/blogs/|www.facebook.com/vadym1ivchenko/|ucab.ua/ua/pres_sluzhba/blog/vadim_ivchenko/
15837,Illienko.Andrii@rada.gov.ua,Тел: (044) 255-38-55,www.facebook.com/andriy.illenko
15794,Iliuk.Artem@rada.gov.ua,Тел: (044) 255-34-87,
15672,Ionova.Mariia@rada.gov.ua,Тел: (044) 255-34-28,
793,Ioffe.Yulii@rada.gov.ua,Тел: (044) 255-26-87,
18092,Ishcheikin.Kostiantyn@rada.gov.ua,Тел: (044) 255-43-79,
15685,Ishchenko.Valerii@rada.gov.ua,Тел: (044) 255-36-18 (помічник),
2524,Abdullin.Oleksandr@rada.gov.ua,Тел: (044) 255-95-11,
15650,Avakov.Arsen@rada.gov.ua,,
15669,Ahafonova.Nataliia@rada.gov.ua,Тел: (044) 255-38-41,
17993,Alieksieiev.Serhii@rada.gov.ua,Тел: (044) 255-35-30|Факс: (044) 255-29-91,www.youtube.com/channel/UCpAYmJ-XvLQmplGjh8tmzJw|www.facebook.com/deputy.alekseev/?ref=hl
16067,Alieksieiev.Ihor@rada.gov.ua,Тел: (044) 255-24-45,www.youtube.com/channel/UCuxBti46AppKCYxhOFKz2dQ|www.facebook.com/profile.php?id=100009322140452
12290,Amelchenko.Vasyl@rada.gov.ua,Тел: (044),
15839,Andriievskyi.Dmytro@rada.gov.ua,Тел: (044) 255-43-62,www.andrievsky.kiev.ua
17983,Antonyshchak.Andrii@rada.gov.ua,Тел: (044) 255-44-08,
11118,Ariev.Volodymyr@rada.gov.ua,Тел: (044) 255-35-69,
18058,Areshonkov.Volodymyr@rada.gov.ua,Тел: (044) 255-45-03,
18049,Artemenko.Andrii@rada.gov.ua,,
18059,Artiushenko.Ihor@rada.gov.ua,Тел: (044) 255-23-90 (помічник),www.facebook.com/artjushenko.igor|www.artyushenko.com.ua/
5584,Atroshenko.Vladyslav@rada.gov.ua,,
18065,Biletskyi.Andrii@rada.gov.ua,Тел: (044) 255-34-02,
8723,Bilyi.Oleksii@rada.gov.ua,Тел: (044) 255-34-55,
3471,Bilovol.Oleksandr@rada.gov.ua,Тел: (044) 255-95-90,
5503,bilozir@v.rada.gov.ua,Тел: (044) 255-31-57,www.Bilozir.info|twitter.com/Oksana_Bilozir|www.facebook.com/oksana.bilozir|www.instagram.com/bilozir_oksana/
16340,bilotserkovets@v.rada.gov.ua,Тел: (044) 255-44-65,
15684,Bielkova.Olha@rada.gov.ua,Тел: (044) 255-23-21,huffingtonpost.com/olga-bielkova|blogs.lb.ua/olga_belkova|www.belkova.com|www.facebook.com/obelkova
18604,Babii.Yurii@rada.gov.ua,Тел: (044) 255-44-19,
18007,Babak.Aliona@rada.gov.ua,Тел: (044) 255-45-40,
4427,Babenko.Valerii@rada.gov.ua,Тел: (044) 255-35-90,
18060,Bakulin.Yevhen@rada.gov.ua,Тел: (044) 255-31-13,
17994,Bakumenko.Oleksandr@rada.gov.ua,Тел: (044) 255-38-75|Факс: (044) 255-33-64*,
15762,BalytskyYevhen@rada.gov.ua,Тел: (044) 255-34-29,
18061,Baloha.Ivan@rada.gov.ua,Тел: (044) 255-32-30 (помічник),
5566,Baloha.Viktor@rada.gov.ua,Тел: (044) 255-38-14 (помічник),www.facebook.com/ViktorBaloga
15757,Baloha.Pavlo@rada.gov.ua,Тел: (044) 255-40-19,
15761,Bandurov.Volodymyr@rada.gov.ua,Тел: (044) 255-26-81|Факс: (044) 255-29-05,
9776,Barvinenko.Vitalii@rada.gov.ua,Тел: (044) 255-27-03|Факс: (044) 255-33-39*,
18062,barna@v.rada.gov.ua,Тел: (044) 255-23-97,
18207,Barna.Stepan@rada.gov.ua,,
18063,Batenko.Taras@rada.gov.ua,Тел: (044) 255-26-55,www.facebook.com/t.batenko|twitter.com/batenko_taras|www.facebook.com/batenko123
5520,Bakhtieieva.Tetiana@rada.gov.ua,Тел: (044) 255-95-82,
15734,Bezbakh.Yakiv@rada.gov.ua,Тел: (044) 255-20-96 (помічник),
19550,bendiuzhenko@v.rada.gov.ua,Тел: (044) 255-45-10,
18064,Bereza.Boryslav@rada.gov.ua,Тел: (044) 255-39-04,
17949,Bereza.Yurii@rada.gov.ua,Тел: (044) 255-32-91 (помічник),
17568,Berezenko.Serhii@rada.gov.ua,Тел: (044) 255-24-00,
14393,Berezkin.Stanislav@rada.gov.ua,Факс: (044) 255-92-20|Тел: (044) 255-91-24,
18027,Bereziuk.Oleh@rada.gov.ua,Тел: (044) 255-36-50 (помічник)|Факс: (044) 255-24-64,
15829,Bobov.Hennadii@rada.gov.ua,Тел: (044) 255-21-28 (приймальня),
11173,bohdan@v.rada.gov.ua,Тел: (044) 255-34-15,
17972,Bohomolets.Olha@rada.gov.ua,Факс: (044) 255-95-32 (приймальня)|Тел: (044) 255-95-03 (приймальня),
8725,Bohuslaiev.Viacheslav@rada.gov.ua,Факс: (044) 255-36-08*|Тел: (044) 255-34-32,
